academic_stream,twelfth_percentage,budget_range,primary_interest,risk_appetite,india_vs_abroad,india_entrance_exams,abroad_entrance_exams,visa_policy_summary,university_comparison,cutoff_criteria
Science,63.9,20-30L,Medicine,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,78.2,20-30L,Government,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,70.2,10-20L,Arts,High,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,70.7,20-30L,Arts,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,71.2,50L+,Technology,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,64.8,30-50L,Government,High,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,77.9,30-50L,Arts,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,68.6,5-10L,Arts,Low,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,56.2,30-50L,Government,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Arts,66.5,30-50L,Business,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,60.9,30-50L,Technology,High,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Arts,81.9,50L+,Business,Medium,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,71.0,50L+,Technology,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,79.2,5-10L,Technology,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,85.3,5-10L,Medicine,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,84.3,5-10L,Arts,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,65.2,50L+,Medicine,Medium,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,73.1,20-30L,Technology,Medium,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,74.7,20-30L,Technology,Medium,Either (India Recommended),CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,82.4,30-50L,Research,Low,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,96.3,30-50L,Government,Low,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Commerce,59.7,20-30L,Research,Low,Either (India Recommended),CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,66.9,10-20L,Business,High,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,65.0,30-50L,Arts,Low,Consider Abroad,CUET / IPMAT,GMAT / IELTS,"PR-friendly (Canada, Germany, Australia)",SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
Science,71.6,30-50L,Technology,Medium,Consider Abroad,JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Science,82.5,5-10L,Medicine,Medium,Stay in India,JEE / NEET,SAT / GRE / IELTS,No visa required,IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Arts,43.4,50L+,Technology,Low,Consider Abroad,CUET / CLAT,SAT / IELTS,"PR-friendly (Canada, Germany, Australia)",LSR vs RCA / Parsons,CUET 90%+ | IELTS 7.0+
Science,78.5,20-30L,Government,Low,Either (India Recommended),JEE / NEET,SAT / GRE / IELTS,"PR-friendly (Canada, Germany, Australia)",IITs vs MIT / ETH Zurich,JEE Adv < 15k | GRE 310+
Commerce,63.4,10-20L,Arts,Low,Stay in India,CUET / IPMAT,GMAT / IELTS,No visa required,SRCC vs Wharton / INSEAD,CUET 95%+ | GMAT 650+
